32,9.536e-08,0.00113428,0.000501248,,
64,9.772e-08,0.00205579,0.000196411,,
128,1.5468e-07,0.00115519,0.000203504,,
256,2.5172e-07,0.00109456,0.00020085,,
512,4.7844e-07,0.00104794,0.000217976,,
1024,8.5548e-07,0.00106975,0.000210653,,
2048,1.68072e-06,0.00108804,0.000222415,,
4096,3.36144e-06,0.00109401,0.000239706,,
8192,6.75744e-06,0.00112713,0.000247533,,
16384,1.35433e-05,0.00115372,0.000287395,,
32768,2.7013e-05,0.00119218,0.000370537,,
65536,5.33118e-05,0.00128037,0.00054517,,
131072,0.000106256,0.00152065,0.000788391,,
262144,0.000214991,0.00189617,0.00134687,,
524288,0.000432483,0.00400874,0.00246493,,
1.04858e+06,0.000886335,0.00507654,0.00505025,,
2.09715e+06,0.00196691,0.00813202,0.0101526,,
4.1943e+06,0.00658583,0.0149478,0.0202834,,
8.38861e+06,0.013898,0.0291461,0.0511326,,
1.67772e+07,0.0199658,0.0557152,0.0841563,,
3.35544e+07,0.0497274,0.111954,0.167976,,
6.71089e+07,0.0994097,0.212841,0.320486,,
1.34218e+08,0.179276,0.380959,0.63289,,
2.68435e+08,0.376267,0.734702,1.26406,,
