32,3.3058e-06,0.00136939,0.001039,,
64,4.2466e-06,0.00363959,0.00115369,,
128,7.3556e-06,0.00301813,0.00067826,,
256,1.34646e-05,0.00283604,0.000768992,,
512,2.76422e-05,0.00288783,0.000907386,,
1024,5.09834e-05,0.00298688,0.00120954,,
2048,0.000101095,0.00323801,0.00182031,,
4096,0.000204211,0.00367398,0.00301748,,
8192,0.000403245,0.00465766,0.00543679,,
16384,0.000806508,0.00646993,0.0102743,,
32768,0.00160969,0.0100575,0.0199499,,
65536,0.00322242,0.0172927,0.039266,,
131072,0.00644247,0.0316286,0.0776563,,
262144,0.0128946,0.0609243,0.156587,,
524288,0.0257724,0.119927,0.308826,,
1.04858e+06,0.0515356,0.237473,0.617831,,
2.09715e+06,0.10308,0.474496,1.2349,,
4.1943e+06,0.206648,0.941204,2.44797,,
8.38861e+06,0.414787,1.88056,4.89437,,
1.67772e+07,0.820525,3.63948,9.57582,,
3.35544e+07,1.59965,7.32885,18.8999,,
6.71089e+07,3.12997,14.4611,37.4313,,
1.34218e+08,6.20086,28.4187,74.5784,,
2.68435e+08,12.4084,56.6445,148.557,,
